****_Guess_File_Begins_****  <--- Do not remove this line

[Parameters]
NUMBER_PEAKS		474
SHIFT_UNITS		PPM
reference_frequency		2.972291e+08
chi_squared		3754.573
noise_STDEV_real		0.01906029
noise_STDEV_imag		0.01906029

[Variables]

[Peaks]

; Peak#    Shift    Width_L(Hz)  Amplitude     Phase(rad)  Delay_Time(s)   Width_Gauss(Hz)
     1    2.649343     12.87259    0.4314299    0.1806485  -0.0005770351            0  
     2    2.227396     12.87259   0.01662945     1.487489  -0.0005770351            0  
     3    2.194694     12.87259  0.009448838     1.856716  -0.0005770351            0  
     4    2.174936     12.87259  0.003378307     3.131778  -0.0005770351            0  
     5    2.142234     12.87259   0.01894151    -1.887335  -0.0005770351            0  
     6    2.023936     12.87259  0.005671375    0.5254025  -0.0005770351            0  
     7    2.010605     12.87259    0.0186573     3.540984  -0.0005770351            0  
     8    1.971475     12.87259   0.01627189     2.350425  -0.0005770351            0  
     9    1.958144     12.87259   0.00945386   -0.1686195  -0.0005770351            0  
    10   0.3192914     12.87259  0.007467173   -0.7641915  -0.0005770351            0  
    11   0.3059604     12.87259   0.00440293     2.644446  -0.0005770351            0  
    12   0.2977584     12.87259  0.007731515      1.81312  -0.0005770351            0  
    13   0.2865884     12.87259  0.004149847   -0.1393075  -0.0005770351            0  
    14   0.2844274     12.87259  0.005376502   -0.9392165  -0.0005770351            0  
    15   0.2732584     12.87259  0.007547526      3.39644  -0.0005770351            0  
    16   0.2650564     12.87259  0.005026535     2.249079  -0.0005770351            0  
    17   0.2517254     12.87259  0.006945889   -0.3242705  -0.0005770351            0  
    18    2.625037     13.18656            0    0.1169241  -0.0005866069            0  
    19    2.194295     13.18656            0      1.50054  -0.0005866069            0  
    20    2.162536     13.18656            0     1.815856  -0.0005866069            0  
    21    2.140764     13.18656            0     3.141333  -0.0005866069            0  
    22    2.109005     13.18656            0    -1.885191  -0.0005866069            0  
    23    1.976891     13.18656            0    0.6439061  -0.0005866069            0  
    24    1.961792     13.18656            0     3.436074  -0.0005866069            0  
    25     1.92336     13.18656            0     2.342951  -0.0005866069            0  
    26    1.908261     13.18656            0   -0.3073299  -0.0005866069            0  
    27  0.08331424     13.18656            0     3.707098  -0.0005866069            0  
    28  0.06821624     13.18656            0    0.9279171  -0.0005866069            0  
    29  0.05155524     13.18656            0    -1.787542  -0.0005866069            0  
    30  0.03645624     13.18656            0     1.437144  -0.0005866069            0  
    31    2.786037     13.18656            0    0.2050721  -0.0005866069            0  
    32    2.618037     13.18656            0    0.1088111  -0.0005866069            0  
    33    2.487037     13.18656            0    0.0865941  -0.0005866069            0  
    34    2.477037     13.18656            0    0.0796851  -0.0005866069            0  
    35   0.5390372     13.18656            0   -0.6028479  -0.0005866069            0  
    36    3.354546     13.18656            0     -1.20698  -0.0005866069            0  
    37    3.331235     13.18656            0   -0.7804629  -0.0005866069            0  
    38   0.5944812     13.18656            0   -0.7358369  -0.0005866069            0  
    39   0.5711552     13.18656            0     1.471324  -0.0005866069            0  
    40   0.5478322     13.18656            0     3.650707  -0.0005866069            0  
    41   0.5245002     13.18656            0   -0.4886669  -0.0005866069            0  
    42    2.053882     13.18656            0      1.89497  -0.0005866069            0  
    43    2.023827     13.18656            0     3.447743  -0.0005866069            0  
    44    1.995254     13.18656            0     3.331848  -0.0005866069            0  
    45    1.965199     13.18656            0     3.915134  -0.0005866069            0  
    46    1.886098     13.18656            0   -0.0568539  -0.0005866069            0  
    47    1.873245     13.18656            0     4.079962  -0.0005866069            0  
    48     1.82747     13.18656            0      1.35872  -0.0005866069            0  
    49    1.814617     13.18656            0    -1.568999  -0.0005866069            0  
    50   0.7868672     13.18656            0     3.338563  -0.0005866069            0  
    51   0.7740142     13.18656            0    0.6119681  -0.0005866069            0  
    52   0.7568122     13.18656            0    -2.043425  -0.0005866069            0  
    53   0.7439592     13.18656            0     1.828332  -0.0005866069            0  
    54    1.622157     12.87259    0.2799907     0.347889  -0.0005770351            0  
    55   0.7261574     12.87259    0.1503944     0.246036  -0.0005770351            0  
    56    1.437732     12.87259   0.06415149    0.2801547  -0.0005770351            0  
    57    1.435814     12.87259  0.007046079     3.278121  -0.0005770351            0  
    58    1.435814     12.87259   0.00950276     1.112819  -0.0005770351            0  
    59    1.435814     12.87259  0.005773185   -0.5608473  -0.0005770351            0  
    60    1.435814     12.87259  0.005501119   -0.6134143  -0.0005770351            0  
    61    1.435814     12.87259  0.001883744      2.18534  -0.0005770351            0  
    62    1.433896     12.87259  0.006465251     3.957471  -0.0005770351            0  
    63    1.433896     12.87259  0.005880831      2.27527  -0.0005770351            0  
    64    1.433896     12.87259  0.004849404    0.2137727  -0.0005770351            0  
    65    1.433896     12.87259  0.0005135968   -0.8634603  -0.0005770351            0  
    66    1.433896     12.87259  0.0005951975     4.402321  -0.0005770351            0  
    67    1.437732     12.87259   0.08013541    0.2801547  -0.0005770351            0  
    68    1.435814     12.87259  0.001809842     4.775586  -0.0005770351            0  
    69    1.435814     12.87259   0.01819323    0.1999287  -0.0005770351            0  
    70    1.435814     12.87259   0.01739557    0.2707207  -0.0005770351            0  
    71    1.435814     12.87259  0.002583573     3.379117  -0.0005770351            0  
    72    1.435814     12.87259  0.002476697     2.158502  -0.0005770351            0  
    73    1.435814     12.87259   0.00215889     3.204538  -0.0005770351            0  
    74    1.435814     12.87259  0.002232344     1.362955  -0.0005770351            0  
    75    1.435814     12.87259  0.005655339   -0.8384733  -0.0005770351            0  
    76    1.433896     12.87259   0.03819939    0.1318297  -0.0005770351            0  
    77    1.433896     12.87259   0.03253821    0.2854577  -0.0005770351            0  
    78    1.433896     12.87259  0.000332433     3.884622  -0.0005770351            0  
    79    1.433896     12.87259  0.003113464     2.056261  -0.0005770351            0  
    80    1.433896     12.87259  0.008776052    0.6308287  -0.0005770351            0  
    81    1.433896     12.87259  0.0002170245     2.973832  -0.0005770351            0  
    82    1.433896     12.87259  0.0001372842   -0.9069393  -0.0005770351            0  
    83    1.215526     12.87259  9.763857e-05     1.566885  -0.0005770351            0  
    84    1.137199     12.87259   0.01383793      3.41032  -0.0005770351            0  
    85    1.137407     12.87259  0.000965929      1.43142  -0.0005770351            0  
    86    1.136939     12.87259  0.001817476   -0.7454823  -0.0005770351            0  
    87    1.126345     12.87259  0.008886585     1.375403  -0.0005770351            0  
    88    1.126396     12.87259  0.0001099557   -0.9394143  -0.0005770351            0  
    89    1.120303     12.87259   0.01492324    0.2188427  -0.0005770351            0  
    90    1.120803     12.87259  0.0006571037     4.997466  -0.0005770351            0  
    91    1.119862     12.87259   0.00165652     4.082565  -0.0005770351            0  
    92    1.113431     12.87259  0.008389347   -0.9784073  -0.0005770351            0  
    93     1.11338     12.87259  0.001331721     1.729902  -0.0005770351            0  
    94    1.103075     12.87259   0.01927874     3.353779  -0.0005770351            0  
    95    1.102843     12.87259  0.0003926071    0.1650647  -0.0005770351            0  
    96   0.5924096     12.87259  0.008727169     3.416656  -0.0005770351            0  
    97   0.5835896     12.87259  0.008792988     3.455217  -0.0005770351            0  
    98   0.5820406     12.87259  0.004086835     1.448345  -0.0005770351            0  
    99   0.5751526     12.87259  0.007920464    0.2753917  -0.0005770351            0  
   100   0.5749566     12.87259  0.001345449     3.976094  -0.0005770351            0  
   101   0.5734566     12.87259  0.004995028     1.560299  -0.0005770351            0  
   102   0.5691176     12.87259  0.003872441   -0.9207513  -0.0005770351            0  
   103   0.5663436     12.87259  0.007599386    0.2666257  -0.0005770351            0  
   104   0.5644196     12.87259  0.0008884981   -0.4324743  -0.0005770351            0  
   105   0.5643186     12.87259  0.0008513544     1.441072  -0.0005770351            0  
   106   0.5602866     12.87259  0.003915101   -0.9406473  -0.0005770351            0  
   107   0.5582676     12.87259  0.006829375     3.389283  -0.0005770351            0  
   108   0.5579286     12.87259  0.001837235   -0.1800953  -0.0005770351            0  
   109   0.5569966     12.87259  0.001402608     1.850866  -0.0005770351            0  
   110   0.5514956     12.87259  0.000703806    0.6458727  -0.0005770351            0  
   111   0.5513946     12.87259  0.0008494299     4.376444  -0.0005770351            0  
   112   0.5494446     12.87259  0.007110872     3.360966  -0.0005770351            0  
   113   0.5408526     12.87259  0.001508266   -0.4971653  -0.0005770351            0  
   114   0.5403926     12.87259  0.000531431     2.326349  -0.0005770351            0  
   115   0.4622646     12.87259  5.536274e-05     1.920013  -0.0005770351            0  
   116    1.492865     12.87259  7.66019e-05    0.2921687  -0.0005770351            0  
   117    1.453751     12.87259  0.0001346852       1.1389  -0.0005770351            0  
   118    1.453441     12.87259  7.654759e-05    0.1080327  -0.0005770351            0  
   119    1.451775     12.87259  7.735528e-05    0.1429057  -0.0005770351            0  
   120    1.405205     12.87259  0.006018999    0.4727497  -0.0005770351            0  
   121    1.404203     12.87259  0.002523704     1.576989  -0.0005770351            0  
